Annotator-E,engiku0211,Facebook_AI.1465,1,TGT,eng,iku,99,nunatsiaq-20191121,False,1603029054.903,1603029081.017
Annotator-D,engiku023c,MultiLingual_Engine_Ubiqus.525,7,BAD,eng,iku,21,nunatsiaq-20190924,False,1604799946.194,1604800003.977
Annotator-D,engiku023c,UEDIN.1281,14,TGT,eng,iku,26,nunatsiaq-20191128,False,1604798668.966,1604798689.145
Annotator-D,engiku023c,UEDIN.1281,8,TGT,eng,iku,65,nunatsiaq-20191128,False,1604798448.473,1604798489.283
Annotator-D,engiku023c,MultiLingual_Engine_Ubiqus.525,37,TGT,eng,iku,45,nunatsiaq-20190924,False,1604798010.457,1604798063.286
Annotator-D,engiku023c,MultiLingual_Engine_Ubiqus.525,29,TGT,eng,iku,77,nunatsiaq-20190924,False,1604797815.05,1604797866.375
Annotator-D,engiku023c,MultiLingual_Engine_Ubiqus.525,39,TGT,eng,iku,22,nunatsiaq-20190924,False,1604798115.488,1604798138.733
Annotator-D,engiku023c,UQAM_TanLe.521,16,BAD,eng,iku,6,nunatsiaq-20191127,False,1604834699.717,1604834722.003
Annotator-D,engiku023c,UQAM_TanLe.521,41,TGT,eng,iku,21,nunatsiaq-20191127,False,1604801394.765,1604801418.799
Annotator-D,engiku023c,UQAM_TanLe.521,33,TGT,eng,iku,35,nunatsiaq-20191127,False,1604801119.046,1604801161.937
Annotator-D,engiku023c,UQAM_TanLe.521,32,TGT,eng,iku,95,nunatsiaq-20191127,False,1604801111.021,1604801119.032
Annotator-D,engiku023c,UQAM_TanLe.521,18,TGT,eng,iku,31,nunatsiaq-20191127,False,1604800827.019,1604800842.563
Annotator-D,engiku023c,UQAM_TanLe.521,49,TGT,eng,iku,53,nunatsiaq-20191127,False,1604801712.865,1604801756.124
Annotator-D,engiku023c,UQAM_TanLe.521,8,TGT,eng,iku,65,nunatsiaq-20191127,False,1604800528.451,1604800570.764
Annotator-D,engiku023b,zlabs-nlp.49,19,BAD,eng,iku,0,nunatsiaq-20191025-3,False,1604754583.779,1604754594.664
Annotator-D,engiku023b,MultiLingual_Engine_Ubiqus.525,44,TGT,eng,iku,77,nunatsiaq-20190920,False,1604754411.877,1604754436.825
Annotator-D,engiku023b,MultiLingual_Engine_Ubiqus.525,37,TGT,eng,iku,82,nunatsiaq-20190920,False,1604754209.575,1604754243.827
Annotator-D,engiku023b,MultiLingual_Engine_Ubiqus.525,32,TGT,eng,iku,94,nunatsiaq-20190920,False,1604754020.745,1604754101.028
Annotator-D,engiku023b,MultiLingual_Engine_Ubiqus.525,27,TGT,eng,iku,96,nunatsiaq-20190920,False,1604753903.43,1604753943.701
Annotator-D,engiku023b,MultiLingual_Engine_Ubiqus.525,25,TGT,eng,iku,95,nunatsiaq-20190920,False,1604753830.914,1604753885.645
Annotator-D,engiku023b,MultiLingual_Engine_Ubiqus.525,24,TGT,eng,iku,91,nunatsiaq-20190920,False,1604753774.995,1604753830.902
Annotator-D,engiku023b,MultiLingual_Engine_Ubiqus.525,2,TGT,eng,iku,84,nunatsiaq-20190920,False,1604753018.219,1604753064.437
Annotator-D,engiku023b,zlabs-nlp.49,6,TGT,eng,iku,0,nunatsiaq-20190920,False,1604760127.516,1604760131.98
Annotator-D,engiku023b,Human-A.0,31,TGT,eng,iku,95,nunatsiaq-20191011,False,1604759996.754,1604760004.404
Annotator-D,engiku023b,Human-A.0,21,TGT,eng,iku,95,nunatsiaq-20191011,False,1604759723.985,1604759751.246
Annotator-D,engiku023b,Human-A.0,17,TGT,eng,iku,95,nunatsiaq-20191011,False,1604759616.033,1604759643.751
Annotator-D,engiku023b,zlabs-nlp.49,45,TGT,eng,iku,0,nunatsiaq-20190920,False,1604759017.534,1604759020.258
Annotator-D,engiku023b,Human-A.0,18,TGT,eng,iku,95,nunatsiaq-20191011,False,1604759643.762,1604759668.958
Annotator-D,engiku023a,UQAM_TanLe.521,18,TGT,eng,iku,74,nunatsiaq-20191125,False,1604706064.691,1604706099.281
Annotator-D,engiku023a,UQAM_TanLe.521,17,BAD,eng,iku,21,nunatsiaq-20191125,False,1604706023.588,1604706064.681
Annotator-D,engiku023a,UQAM_TanLe.521,9,TGT,eng,iku,45,nunatsiaq-20191125,False,1604705787.701,1604705811.874
Annotator-D,engiku023a,UQAM_TanLe.521,8,TGT,eng,iku,45,nunatsiaq-20191125,False,1604705751.237,1604705787.69
Annotator-D,engiku023a,SRPOL.383,29,TGT,eng,iku,27,nunatsiaq-20191025,False,1604699490.805,1604699535.357
Annotator-D,engiku023a,SRPOL.383,28,TGT,eng,iku,21,nunatsiaq-20191025,False,1604699444.522,1604699490.789
Annotator-D,engiku023a,SRPOL.383,32,TGT,eng,iku,22,nunatsiaq-20191025,False,1604699629.376,1604699643.676
Annotator-D,engiku023a,UQAM_TanLe.521,20,TGT,eng,iku,56,nunatsiaq-20191125,False,1604695363.359,1604695388.301
Annotator-D,engiku023a,UQAM_TanLe.521,12,TGT,eng,iku,34,nunatsiaq-20191125,False,1604695030.292,1604695053.641
Annotator-D,engiku023a,UQAM_TanLe.521,2,TGT,eng,iku,54,nunatsiaq-20191125,False,1604694708.077,1604694710.675
Annotator-D,engiku023a,SRPOL.383,36,TGT,eng,iku,73,nunatsiaq-20191112,False,1604748816.5,1604748873.536
Annotator-D,engiku0239,OPPO.722,12,TGT,eng,iku,95,nunatsiaq-20191009,False,1604667846.182,1604667860.369
Annotator-D,engiku0239,NICT_Kyoto.1219,31,TGT,eng,iku,82,nunatsiaq-20191022,False,1604666406.894,1604666436.171
Annotator-D,engiku0239,OPPO.722,32,TGT,eng,iku,91,nunatsiaq-20191009,False,1604618526.659,1604618567.672
Annotator-D,engiku0239,OPPO.722,11,TGT,eng,iku,26,nunatsiaq-20191009,False,1604617639.815,1604617676.719
Annotator-D,engiku0239,OPPO.722,5,TGT,eng,iku,95,nunatsiaq-20191009,False,1604616513.094,1604616541.064
Annotator-D,engiku0239,OPPO.722,3,TGT,eng,iku,95,nunatsiaq-20191009,False,1604616468.68,1604616475.175
Annotator-D,engiku0239,UQAM_TanLe.521,5,TGT,eng,iku,2,nunatsiaq-20191114,False,1604670196.839,1604670204.586
Annotator-D,engiku0238,UQAM_TanLe.521,4,BAD,eng,iku,4,nunatsiaq-20191009,False,1604586131.539,1604586188.901
Annotator-D,engiku0238,Facebook_AI.1465,29,TGT,eng,iku,52,nunatsiaq-20190924,False,1604585673.229,1604585692.759
Annotator-D,engiku0239,CUNI-Transfer.1009,11,TGT,eng,iku,69,nunatsiaq-20191127,False,1604688600.567,1604688670.242
Annotator-D,engiku0238,Facebook_AI.1465,14,TGT,eng,iku,47,nunatsiaq-20190924,False,1604585388.968,1604585404.73
Annotator-D,engiku0238,UQAM_TanLe.521,8,TGT,eng,iku,60,nunatsiaq-20191009,False,1604576548.664,1604576636.682
